rate,author,title
9.0,作者:钱钟书,围城
9.0,作者:钱钟书,写在人生边上写在人生边上的边上石语
9.0,作者:宗萨蒋扬钦哲仁波切,人间是剧场
9.0,作者:饶平如,平如美棠
9.1,作者:雨果,悲惨世界（上下）
9.2,作者:[德]马克斯·韦伯,学术与政治
9.0,作者:斯台芬·茨威格,心灵的焦灼
8.9,作者:钱穆,论语新解
9.2,作者:[阿根廷]豪·路·博尔赫斯,虚构集
9.0,作者:米切尔・恩德,毛毛
9.3,作者:何偉,甲骨文
9.1,作者:郑重/王要,大明宫词
9.0,作者:汉密尔顿/杰伊/麦迪逊,联邦党人文集
9.2,作者:王世襄,锦灰堆
9.2,作者:袁越,来自民间的叛逆
9.3,作者:郑念,上海生死劫
9.2,作者:[俄]亚历山大·索尔仁尼琴,古拉格群岛（上中下）
9.1,作者:任东来/陈伟/白雪峰,美国宪政历程
9.1,作者:(美)萨伯,洞穴奇案
9.6,作者:WILLARDPRICE,哈尔罗杰历险记(全套共14册)
9.5,作者:RandalE.Bryant/DavidO'Hallaron,深入理解计算机系统
9.4,作者:[英]贡布里希(SirE.H.Gombrich),艺术的故事
9.5,作者:[美]乔治.R.R.马丁,冰与火之歌（卷三）
9.5,作者:[英]A.S.Hornby原著/SallyWehmeier主编/MichaelAshby语音编辑,牛津高阶英汉双解词典（第六版）
9.5,作者:RichardP.Feynman/RobertB.Leighton/MatthewSands,费恩曼物理学讲义（第1卷）
9.2,作者:熊顿,滚蛋吧!肿瘤君
9.5,作者:[清]曹雪芹著/高鹗续,红楼梦
9.4,作者:吴淼,塔希里亚故事集
9.2,作者:[哥伦比亚]加西亚·马尔克斯,百年孤独
9.4,作者:[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein,算法导论（原书第2版）
9.4,作者:[美]侯世达,哥德尔、艾舍尔、巴赫
9.2,作者:木心口述/陈丹青笔录,文学回忆录（全2册）
9.5,作者:司马迁,史记（全十册）
9.4,作者:老子,道德经
9.2,作者:刘慈欣,三体Ⅲ
8.8,作者:柴静,看见
9.4,作者:[美]乔治.R.R.马丁,冰与火之歌（卷二）
9.4,作者:鲁迅,鲁迅全集（2005最新修订版）
9.4,作者:吴淼,塔希里亚故事集Ⅱ
9.1,作者:吴军,浪潮之巅
9.4,作者:孔丘编订,诗经
9.3,作者:[美]艾萨克·阿西莫夫,第二基地
9.4,作者:林崇德主编,中国少年儿童百科全书（全四册）
9.4,作者:[美]徐中約,中國近代史（上冊）
9.3,作者:孙武,孙子兵法
9.3,作者:[宋]司馬光編著/[元]胡三省音注,資治通鑑（全二十冊）
9.3,作者:〔法〕大仲马著,基督山伯爵(上下)
9.3,作者:安房直子,风与树的歌
9.2,作者:高尔泰,寻找家园
9.2,作者:（美）乔治·R·R·马丁,冰与火之歌·卷四·群鸦的盛宴（全两册）
9.3,作者:玛赞·莎塔碧,我在伊朗长大
9.3,作者:中国社会科学院语言研究所词典编辑室编,现代汉语词典（修订本）
9.3,作者:孙通海译注,庄子
9.3,作者:[俄]陀思妥耶夫斯基,卡拉马佐夫兄弟
9.4,作者:（美）BrianW.Kernighan/（美）DennisM.Ritchie,C程序设计语言
9.3,作者:[意大利]卡尔维诺,卡尔维诺文集（第三卷）
9.1,作者:[美]安·兰德,源泉
9.3,作者:[美]乔治·R.R.马丁,冰与火之歌（卷一）
9.4,作者:兰晓龙,我的团长我的团（下部）
9.3,作者:蘅塘退士/陈婉俊,唐诗三百首
9.2,作者:张纯如,南京浩劫
9.3,作者:王小波,王小波全集
9.3,作者:[英]山姆·麦克布雷尼文/安妮塔·婕朗图,猜猜我有多爱你
